party,per_2019,per_2014,state
INC,39.91%,20.59%,Maharashtra
INC,39.91%,19.79%,Chandigarh
INC,39.91%,19.14%,Rajasthan
INC,39.91%,16.37%,Haryana
INC,39.91%,15.57%,Bihar
INC,39.91%,13.28%,Jharkhand
INC,39.91%,12.88%,Tripura
INC,39.91%,9.86%,"NCT OF Delhi"
INC,39.91%,8.79%,Telangana
INC,39.91%,7.87%,"West Bengal"
INC,39.91%,5.15%,"Uttar Pradesh"
INC,39.91%,3.18%,"Tamil Nadu"
INC,39.91%,1.94%,Sikkim
INC,39.89%,40.32%,Lakshadweep
INC,39.89%,37.93%,"Dadra & Nagar Haveli"
INC,39.89%,33.75%,"Daman & Diu"
INC,39.89%,33.19%,Manipur
INC,39.89%,32.41%,"Arunachal Pradesh"
INC,39.89%,30.87%,"Andaman & Nicobar Islands"
INC,39.89%,30.45%,Kerala
INC,39.89%,29.98%,Mizoram
INC,39.89%,28.16%,Goa
INC,39.89%,27.41%,Karnataka
INC,39.89%,26.47%,Nagaland
INC,39.89%,26.21%,"Himachal Pradesh"
INC,39.89%,26.09%,Meghalaya
INC,39.89%,25.77%,Assam
INC,39.89%,23.41%,"Jammu & Kashmir"
INC,39.89%,23.34%,Punjab
INC,39.89%,21.72%,Gujarat
INC,39.89%,21.63%,Puducherry
INC,39.89%,21.49%,"Madhya Pradesh"
INC,39.89%,20.97%,Uttarakhand
INC,39.89%,20.59%,Maharashtra
INC,39.89%,19.79%,Chandigarh
INC,39.89%,19.14%,Rajasthan
INC,39.89%,16.37%,Haryana
INC,39.89%,15.57%,Bihar
INC,39.89%,13.28%,Jharkhand
INC,39.89%,12.88%,Tripura
INC,39.89%,9.86%,"NCT OF Delhi"
INC,39.89%,8.79%,Telangana
INC,39.89%,7.87%,"West Bengal"
INC,39.89%,5.15%,"Uttar Pradesh"
INC,39.89%,3.18%,"Tamil Nadu"
INC,39.89%,1.94%,Sikkim
YSRCP,39.43%,23.68%,Telangana
AJSUP,39.30%,3.55%,Jharkhand
DMK,39.19%,19.94%,"Tamil Nadu"
DMK,39.19%,6.72%,Puducherry
INC,38.83%,40.32%,Lakshadweep
INC,38.83%,37.93%,"Dadra & Nagar Haveli"
INC,38.83%,33.75%,"Daman & Diu"
INC,38.83%,33.19%,Manipur
INC,38.83%,32.41%,"Arunachal Pradesh"
INC,38.83%,30.87%,"Andaman & Nicobar Islands"
INC,38.83%,30.45%,Kerala
INC,38.83%,29.98%,Mizoram
INC,38.83%,28.16%,Goa
INC,38.83%,27.41%,Karnataka
INC,38.83%,26.47%,Nagaland
INC,38.83%,26.21%,"Himachal Pradesh"
INC,38.83%,26.09%,Meghalaya
INC,38.83%,25.77%,Assam
INC,38.83%,23.41%,"Jammu & Kashmir"
INC,38.83%,23.34%,Punjab
INC,38.83%,21.72%,Gujarat
INC,38.83%,21.63%,Puducherry
INC,38.83%,21.49%,"Madhya Pradesh"
INC,38.83%,20.97%,Uttarakhand
INC,38.83%,20.59%,Maharashtra
INC,38.83%,19.79%,Chandigarh
INC,38.83%,19.14%,Rajasthan
INC,38.83%,16.37%,Haryana
INC,38.83%,15.57%,Bihar
INC,38.83%,13.28%,Jharkhand
INC,38.83%,12.88%,Tripura
INC,38.83%,9.86%,"NCT OF Delhi"
INC,38.83%,8.79%,Telangana
INC,38.83%,7.87%,"West Bengal"
INC,38.83%,5.15%,"Uttar Pradesh"
INC,38.83%,3.18%,"Tamil Nadu"
INC,38.83%,1.94%,Sikkim
RSP,38.53%,33.50%,Kerala
RSP,38.53%,22.27%,"West Bengal"
RSP,38.53%,0.11%,Telangana
SKM,38.45%,32.89%,Sikkim
BJP,38.43%,41.99%,"Daman & Diu"
BJP,38.43%,41.17%,Goa
BJP,38.43%,41.09%,"Dadra & Nagar Haveli"
BJP,38.43%,37.56%,Gujarat
BJP,38.43%,36.26%,"Arunachal Pradesh"
BJP,38.43%,34.64%,Rajasthan
BJP,38.43%,34.37%,"Himachal Pradesh"
BJP,38.43%,34.09%,Uttarakhand
BJP,38.43%,33.77%,"Andaman & Nicobar Islands"
BJP,38.43%,33.28%,"Madhya Pradesh"
BJP,38.43%,33.00%,Maharashtra
BJP,38.43%,31.77%,Assam
BJP,38.43%,31.10%,Chandigarh
BJP,38.43%,30.91%,Haryana
BJP,38.43%,30.20%,"NCT OF Delhi"
BJP,38.43%,28.89%,Karnataka
BJP,38.43%,27.09%,Punjab
BJP,38.43%,25.59%,Jharkhand
BJP,38.43%,25.35%,"Uttar Pradesh"
BJP,38.43%,22.07%,Bihar
BJP,38.43%,21.70%,Telangana
BJP,38.43%,16.88%,"Tamil Nadu"
BJP,38.43%,16.07%,"Jammu & Kashmir"
BJP,38.43%,13.83%,"West Bengal"
BJP,38.43%,9.79%,Meghalaya
BJP,38.43%,9.48%,Manipur
BJP,38.43%,8.48%,Kerala
BJP,38.43%,4.83%,Tripura
BJP,38.43%,1.96%,Sikkim
BJP,38.43%,0.37%,Lakshadweep
BJP,37.61%,41.99%,"Daman & Diu"
BJP,37.61%,41.17%,Goa
BJP,37.61%,41.09%,"Dadra & Nagar Haveli"
BJP,37.61%,37.56%,Gujarat
BJP,37.61%,36.26%,"Arunachal Pradesh"
BJP,37.61%,34.64%,Rajasthan
BJP,37.61%,34.37%,"Himachal Pradesh"
BJP,37.61%,34.09%,Uttarakhand
BJP,37.61%,33.77%,"Andaman & Nicobar Islands"
BJP,37.61%,33.28%,"Madhya Pradesh"
BJP,37.61%,33.00%,Maharashtra
BJP,37.61%,31.77%,Assam
BJP,37.61%,31.10%,Chandigarh
BJP,37.61%,30.91%,Haryana
BJP,37.61%,30.20%,"NCT OF Delhi"
BJP,37.61%,28.89%,Karnataka
BJP,37.61%,27.09%,Punjab
BJP,37.61%,25.59%,Jharkhand
BJP,37.61%,25.35%,"Uttar Pradesh"
BJP,37.61%,22.07%,Bihar
BJP,37.61%,21.70%,Telangana
BJP,37.61%,16.88%,"Tamil Nadu"
BJP,37.61%,16.07%,"Jammu & Kashmir"
BJP,37.61%,13.83%,"West Bengal"
BJP,37.61%,9.79%,Meghalaya
BJP,37.61%,9.48%,Manipur
BJP,37.61%,8.48%,Kerala
BJP,37.61%,4.83%,Tripura
BJP,37.61%,1.96%,Sikkim
BJP,37.61%,0.37%,Lakshadweep
BJP,36.73%,41.99%,"Daman & Diu"
BJP,36.73%,41.17%,Goa
BJP,36.73%,41.09%,"Dadra & Nagar Haveli"
BJP,36.73%,37.56%,Gujarat
BJP,36.73%,36.26%,"Arunachal Pradesh"
BJP,36.73%,34.64%,Rajasthan
BJP,36.73%,34.37%,"Himachal Pradesh"
BJP,36.73%,34.09%,Uttarakhand
BJP,36.73%,33.77%,"Andaman & Nicobar Islands"
BJP,36.73%,33.28%,"Madhya Pradesh"
BJP,36.73%,33.00%,Maharashtra
BJP,36.73%,31.77%,Assam
BJP,36.73%,31.10%,Chandigarh
BJP,36.73%,30.91%,Haryana
BJP,36.73%,30.20%,"NCT OF Delhi"
BJP,36.73%,28.89%,Karnataka
BJP,36.73%,27.09%,Punjab
BJP,36.73%,25.59%,Jharkhand
BJP,36.73%,25.35%,"Uttar Pradesh"
BJP,36.73%,22.07%,Bihar
BJP,36.73%,21.70%,Telangana
BJP,36.73%,16.88%,"Tamil Nadu"
BJP,36.73%,16.07%,"Jammu & Kashmir"
BJP,36.73%,13.83%,"West Bengal"
BJP,36.73%,9.79%,Meghalaya
BJP,36.73%,9.48%,Manipur
BJP,36.73%,8.48%,Kerala
BJP,36.73%,4.83%,Tripura
BJP,36.73%,1.96%,Sikkim
BJP,36.73%,0.37%,Lakshadweep
BJP,36.56%,41.99%,"Daman & Diu"
BJP,36.56%,41.17%,Goa
BJP,36.56%,41.09%,"Dadra & Nagar Haveli"
BJP,36.56%,37.56%,Gujarat
BJP,36.56%,36.26%,"Arunachal Pradesh"
BJP,36.56%,34.64%,Rajasthan
BJP,36.56%,34.37%,"Himachal Pradesh"
BJP,36.56%,34.09%,Uttarakhand
BJP,36.56%,33.77%,"Andaman & Nicobar Islands"
BJP,36.56%,33.28%,"Madhya Pradesh"
BJP,36.56%,33.00%,Maharashtra
BJP,36.56%,31.77%,Assam
BJP,36.56%,31.10%,Chandigarh
BJP,36.56%,30.91%,Haryana
BJP,36.56%,30.20%,"NCT OF Delhi"
BJP,36.56%,28.89%,Karnataka
BJP,36.56%,27.09%,Punjab
BJP,36.56%,25.59%,Jharkhand
BJP,36.56%,25.35%,"Uttar Pradesh"
BJP,36.56%,22.07%,Bihar
BJP,36.56%,21.70%,Telangana
BJP,36.56%,16.88%,"Tamil Nadu"
BJP,36.56%,16.07%,"Jammu & Kashmir"
BJP,36.56%,13.83%,"West Bengal"
BJP,36.56%,9.79%,Meghalaya
BJP,36.56%,9.48%,Manipur
BJP,36.56%,8.48%,Kerala
BJP,36.56%,4.83%,Tripura
BJP,36.56%,1.96%,Sikkim
BJP,36.56%,0.37%,Lakshadweep
CPI,36.41%,27.01%,Kerala
CPI,36.41%,26.14%,"West Bengal"
CPI,36.41%,23.08%,Manipur
CPI,36.41%,13.03%,Telangana
CPI,36.41%,12.42%,Bihar
CPI,36.41%,2.43%,Assam
CPI,36.41%,1.98%,"Tamil Nadu"
CPI,36.41%,1.90%,Jharkhand
CPI,36.41%,1.41%,Puducherry
CPI,36.41%,1.27%,Rajasthan
CPI,36.41%,1.15%,"Madhya Pradesh"
CPI,36.41%,0.95%,Goa
CPI,36.41%,0.94%,"Uttar Pradesh"
CPI,36.41%,0.86%,Maharashtra
CPI,36.41%,0.82%,Gujarat
CPI,36.41%,0.76%,Meghalaya
CPI,36.41%,0.74%,Punjab
CPI,36.41%,0.65%,Haryana
CPI,36.41%,0.64%,Karnataka
CPI,36.41%,0.51%,Uttarakhand
CPI,36.41%,0.36%,Lakshadweep
CPI,36.41%,0.26%,"NCT OF Delhi"
BJP,36.30%,41.99%,"Daman & Diu"
BJP,36.30%,41.17%,Goa
BJP,36.30%,41.09%,"Dadra & Nagar Haveli"
BJP,36.30%,37.56%,Gujarat
BJP,36.30%,36.26%,"Arunachal Pradesh"
BJP,36.30%,34.64%,Rajasthan
BJP,36.30%,34.37%,"Himachal Pradesh"
BJP,36.30%,34.09%,Uttarakhand
BJP,36.30%,33.77%,"Andaman & Nicobar Islands"
BJP,36.30%,33.28%,"Madhya Pradesh"
BJP,36.30%,33.00%,Maharashtra
BJP,36.30%,31.77%,Assam
BJP,36.30%,31.10%,Chandigarh
BJP,36.30%,30.91%,Haryana
BJP,36.30%,30.20%,"NCT OF Delhi"
BJP,36.30%,28.89%,Karnataka
BJP,36.30%,27.09%,Punjab
BJP,36.30%,25.59%,Jharkhand
BJP,36.30%,25.35%,"Uttar Pradesh"
BJP,36.30%,22.07%,Bihar
BJP,36.30%,21.70%,Telangana
BJP,36.30%,16.88%,"Tamil Nadu"
BJP,36.30%,16.07%,"Jammu & Kashmir"
BJP,36.30%,13.83%,"West Bengal"
BJP,36.30%,9.79%,Meghalaya
BJP,36.30%,9.48%,Manipur
BJP,36.30%,8.48%,Kerala
BJP,36.30%,4.83%,Tripura
BJP,36.30%,1.96%,Sikkim
BJP,36.30%,0.37%,Lakshadweep
INC,36.22%,40.32%,Lakshadweep
INC,36.22%,37.93%,"Dadra & Nagar Haveli"
INC,36.22%,33.75%,"Daman & Diu"
INC,36.22%,33.19%,Manipur
INC,36.22%,32.41%,"Arunachal Pradesh"
INC,36.22%,30.87%,"Andaman & Nicobar Islands"
INC,36.22%,30.45%,Kerala
INC,36.22%,29.98%,Mizoram
INC,36.22%,28.16%,Goa
INC,36.22%,27.41%,Karnataka
INC,36.22%,26.47%,Nagaland
INC,36.22%,26.21%,"Himachal Pradesh"
INC,36.22%,26.09%,Meghalaya
INC,36.22%,25.77%,Assam
INC,36.22%,23.41%,"Jammu & Kashmir"
INC,36.22%,23.34%,Punjab
INC,36.22%,21.72%,Gujarat
INC,36.22%,21.63%,Puducherry
INC,36.22%,21.49%,"Madhya Pradesh"
INC,36.22%,20.97%,Uttarakhand
INC,36.22%,20.59%,Maharashtra
INC,36.22%,19.79%,Chandigarh
INC,36.22%,19.14%,Rajasthan
INC,36.22%,16.37%,Haryana
INC,36.22%,15.57%,Bihar
INC,36.22%,13.28%,Jharkhand
INC,36.22%,12.88%,Tripura
INC,36.22%,9.86%,"NCT OF Delhi"
INC,36.22%,8.79%,Telangana
INC,36.22%,7.87%,"West Bengal"
INC,36.22%,5.15%,"Uttar Pradesh"
INC,36.22%,3.18%,"Tamil Nadu"
INC,36.22%,1.94%,Sikkim
BJP,35.75%,41.99%,"Daman & Diu"
BJP,35.75%,41.17%,Goa
BJP,35.75%,41.09%,"Dadra & Nagar Haveli"
BJP,35.75%,37.56%,Gujarat
BJP,35.75%,36.26%,"Arunachal Pradesh"
BJP,35.75%,34.64%,Rajasthan
BJP,35.75%,34.37%,"Himachal Pradesh"
BJP,35.75%,34.09%,Uttarakhand
BJP,35.75%,33.77%,"Andaman & Nicobar Islands"
BJP,35.75%,33.28%,"Madhya Pradesh"
BJP,35.75%,33.00%,Maharashtra
BJP,35.75%,31.77%,Assam
BJP,35.75%,31.10%,Chandigarh
BJP,35.75%,30.91%,Haryana
BJP,35.75%,30.20%,"NCT OF Delhi"
BJP,35.75%,28.89%,Karnataka
BJP,35.75%,27.09%,Punjab
BJP,35.75%,25.59%,Jharkhand
BJP,35.75%,25.35%,"Uttar Pradesh"
BJP,35.75%,22.07%,Bihar
BJP,35.75%,21.70%,Telangana
BJP,35.75%,16.88%,"Tamil Nadu"
BJP,35.75%,16.07%,"Jammu & Kashmir"
BJP,35.75%,13.83%,"West Bengal"
BJP,35.75%,9.79%,Meghalaya
